DBN,School Name,Curved Teacher Improvement,Teacher Improvement
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",0.570764174,0.816666666
24Q143,P.S. 143 Louis Armstrong,0.612333654,0.702083334
24Q153,P.S. 153 Maspeth Elem,0.816679458,0.856097561
24Q199,P.S. 199 Maurice A. Fitzgerald,0.754617156,0.766197183
24Q211,Elm Tree Elementary School,0.766666667,0.766666667
24Q229,P.S. 229 Emanuel Kaplan,0.723606064,0.730952381
24Q236,International High School for Health Sciences,0.933333333,0.933333333
24Q239,P.S. 239,0.728822431,0.764
24Q264,Academy of Finance and Enterprise,0.776923077,0.776923077
24Q267,High School of Applied Communication,0.736,0.736
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,0.863673169,0.881481481
24Q293,Civic Leadership Academy,0.789480878,0.827586206
24Q296,Pan American International High School,0.697900892,0.833333333
24Q299,Bard High School Early College Queens,0.660131754,0.733333333
24Q305,Learners and Leaders,0.722878398,0.863157895
24Q307,Pioneer Academy,0.608347047,0.711538462
24Q311,Corona Arts and Sciences Academy,0.782380227,0.88
24Q330,P.S. 330,0.582805577,0.818181818
24Q343,The Children's Lab School,0.866666667,0.866666667
24Q455,Newtown High School,0.708333117,0.791752577
24Q457,HS Arts & Business Yabc,0.772601175,0.891666667
24Q485,Grover Cleveland High School,0.503798212,0.688135593
24Q520,Middle College High School at LaGuardia Community College,0.565041947,0.67
24Q530,International High School at LaGuardia Community College,0.841930967,0.918518519
24Q550,High School for Arts and Business,0.725991092,0.827027027
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",0.752128615,0.775757576
24Q585,Maspeth High School,0.628209379,0.760869565
24Q600,Queens Vocational and Technical High School,0.685866325,0.739534884
24Q610,Aviation Career & Technical Education High School,0.609185146,0.765853658
24Q744,VOYAGES Preparatory,0.688830462,0.738461539
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),0.824302654,0.845714286
25Q020,P.S. 020 John Bowne,0.490749351,0.771428571
25Q021,P.S. 021 Edward Hart,0.818564827,0.835443038
25Q022,P.S. 022 Thomas Jefferson,0.800329382,0.868
25Q024,P.S. 024 Andrew Jackson,0.745165678,0.781132075
25Q025,I.S. 025 Adrien Block,0.719938011,0.734782609
25Q029,P.S. 029 Queens,0.804076881,0.838297872
25Q032,P.S. 032 State Street,0.884210526,0.884210526
25Q079,P.S. 079 Francis Lewis,0.801323092,0.84
25Q107,P.S. 107 Thomas A Dooley,0.631160966,0.764444444
