DBN,School Name,how loyal teachers feel towards their school
07X495,University Heights Secondary School,13.86666667
01M448,University Neighborhood High School,17.53333333
18K642,Urban Action Academy,17.06666667
02M305,Urban Assembly Academy of Government and Law,14.33333333
02M507,Urban Assembly Gateway School for Technology,26.86666667
13K350,Urban Assembly High School of Music and Art,12.26666667
13K527,Urban Assembly Institute of Math and Science for Young Women,30.66666667
02M282,Urban Assembly Maker Academy,4.933333333
02M551,Urban Assembly New York Harbor School,17.13333333
09X241,Urban Assembly School for Applied Math and Science,36.26666667
07X548,Urban Assembly School for Careers in Sports,28.66666667
20K609,Urban Assembly School for Criminal Justice,24.13333333
02M135,Urban Assembly School for Emergency Management,12.4
05M157,Urban Assembly School for Global Commerce,12
03M402,Urban Assembly School for Green Careers,16
03M307,Urban Assembly School for Media Studies,18.8
05M369,Urban Assembly School for the Performing Arts,15.46666667
12X372,Urban Assembly School for Wildlife Conservation,12.86666667
02M316,Urban Assembly School of Business for Young Women,17.6
02M300,Urban Assembly School of Design and Construction,20.4
09X263,Validus Preparatory Academy: An Expeditionary Learning School,14.46666667
02M449,Vanguard High School,30.8
25Q240,Veritas Academy,14.13333333
18K576,Victory Collegiate High School,14.2
19K660,W. H. Maxwell Career and Technical Education High School,26.73333333
03M415,Wadleigh Secondary School for the Performing and Visual Arts,22.13333333
06M348,Washington Heights Expeditionary Learning School,25
10X243,West Bronx Academy for the Future,27.86666667
08X558,Westchester Square Academy,22.2
30Q445,William Cullen Bryant High School,30.26666667
21K620,William E. Grady Career and Technical Education High School,29.46666667
14K558,Williamsburg High School for Architecture and Design,33.2
14K561,Williamsburg Preparatory School,35.13333333
12X684,Wings Academy,14.73333333
08X282,Women's Academy of Excellence,8.266666667
19K510,World Academy for Total Community Health High School,12.73333333
25Q285,World Journalism Preparatory (College Board),31.2
10X353,World View High School,9.2
28Q284,York Early College Academy,27.73333333
04M610,Young Women's Leadership School,27
28Q896,Young Women's Leadership School in Queens,18.86666667
14K614,Young Women's Leadership School of Brooklyn,23.06666667
30Q286,Young Women's Leadership School in Astoria,29.2
